Python,Cython
2.32794,0.00500
2.32800,0.00460
2.30556,0.00500
2.38399,0.00501
2.29221,0.00454
2.20990,0.00473
2.20692,0.00456
2.30686,0.00498
2.38696,0.00456
2.27940,0.00478
2.23236,0.00454
2.19736,0.00453
2.19152,0.00453
2.19587,0.00454
2.19351,0.00461
2.20119,0.00459
2.20379,0.00461
2.19984,0.00456
2.20608,0.00460
2.32688,0.00500
2.31544,0.00453
2.22428,0.00458
2.21868,0.00456
2.22449,0.00452
2.21921,0.00457
2.38385,0.00478
2.31521,0.00454
2.29238,0.00454
2.29910,0.00456
2.29496,0.00460
