Python,Cython
0.03063, 0.00265
0.01960, 0.00265
0.01965, 0.00265
0.01958, 0.00264
0.02382, 0.00265
0.01961, 0.00265
0.01965, 0.00265
0.01959, 0.00265
0.02256, 0.00265
0.01960, 0.00264
0.01966, 0.00265
0.01957, 0.00265
0.01965, 0.00264
0.02196, 0.00264
0.01965, 0.00265
0.01959, 0.00265
0.01965, 0.00266
0.01957, 0.00265
0.02201, 0.00265
0.01966, 0.00264
0.01965, 0.00265
0.01959, 0.00265
0.01964, 0.00264
0.02197, 0.00264
0.01965, 0.00265
0.01959, 0.00265
0.01967, 0.00265
0.01961, 0.00265
0.02201, 0.00265
0.01961, 0.00264
