Python,Cython
0.32089,0.09371
0.36173,0.11410
0.40135,0.10082
0.33737,0.09338
0.35251,0.07451
0.35525,0.09721
0.34347,0.08059
0.29351,0.08660
0.28892,0.07189
0.30821,0.06917
0.29646,0.07321
0.35815,0.11637
0.33371,0.07133
0.30233,0.07455
0.31336,0.06746
0.30373,0.07179
0.29297,0.07392
0.29113,0.07278
0.30723,0.06852
0.29328,0.07344
0.29944,0.07182
0.31698,0.07158
0.28384,0.07619
0.29413,0.07019
0.29221,0.07399
0.29057,0.07208
0.29279,0.07013
0.29174,0.07912
0.31744,0.07089
0.30190,0.09004
