Python,Cython
2.22849, 0.06181
2.19485, 0.06227
2.21685, 0.06249
2.21308, 0.06293
2.20744, 0.06277
2.20332, 0.06258
2.20472, 0.06291
2.21105, 0.06240
2.20298, 0.06265
2.20920, 0.06245
2.20429, 0.06245
2.22244, 0.06661
2.31358, 0.06525
2.29721, 0.06570
2.29124, 0.06606
2.22658, 0.06313
2.21180, 0.06293
2.21649, 0.06252
2.21292, 0.06283
2.22612, 0.06593
2.28324, 0.06289
2.27160, 0.06337
2.26774, 0.06280
2.26582, 0.06289
2.26944, 0.06278
2.33224, 0.06878
2.38800, 0.06703
2.38411, 0.06660
2.36792, 0.06748
2.41339, 0.07184
