Python,Cython
0.01835, 0.00051
0.01807, 0.00051
0.01801, 0.00051
0.01844, 0.00054
0.01947, 0.00058
0.01847, 0.00051
0.01837, 0.00052
0.01835, 0.00052
0.01833, 0.00052
0.01881, 0.00053
0.01890, 0.00052
0.01866, 0.00052
0.01838, 0.00052
0.01829, 0.00052
0.01836, 0.00052
0.01903, 0.00052
0.01861, 0.00052
0.01842, 0.00052
0.01830, 0.00052
0.01838, 0.00052
0.01860, 0.00055
0.01904, 0.00052
0.01851, 0.00051
0.01940, 0.00060
0.01881, 0.00052
0.01861, 0.00052
0.01836, 0.00052
0.01842, 0.00052
0.01839, 0.00052
0.01837, 0.00052
